,sin_mse,cos_mse,r^2_score
0,0.1489942862650084,0.3145192245142052,0.4543704940491661
1,0.10438699945821323,0.0200454334053701,0.8535231330075352
2,0.09783365571495746,0.08695191112536974,0.7824778454193574
3,0.053314731056217465,0.035448259655557625,0.895511769036968
4,0.49141623279220825,0.3416692146521313,0.01932523964678122
5,0.11928682012334633,0.2693085815736783,0.5425610858974304
6,0.1437828399300292,0.3041108966928785,0.4727574654270694
7,0.03632299276330422,0.012471048455688869,0.9425616125862069
8,0.005860417300439769,0.00476294345644996,0.9874946059898558
9,0.0027258242482150336,0.0021557541058114015,0.9942536018398039
10,0.05292028720323134,0.007685032283879754,0.928657849748211
11,0.13399220018935645,0.2478183902657436,0.5505478934441562
12,0.01179803339389456,0.006499142780998721,0.9784612983992224
13,0.006159909294764828,0.006665848237885405,0.9849020328787814
14,0.012799753092917787,0.012342385832118686,0.9704036829106598
